iter	Passed	Remaining
581	34041	82940
582	34100	82882
583	34152	82808
584	34214	82757
585	34269	82690
586	34328	82633
587	34384	82569
588	34449	82527
589	34505	82463
590	34563	82403
591	34623	82347
592	34689	82307
593	34742	82236
594	34795	82163
595	34850	82098
596	34903	82025
597	34956	81955
598	35015	81898
599	35075	81843
600	35132	81780
601	35193	81729
602	35257	81683
603	35311	81614
604	35372	81561
605	35428	81496
606	35487	81439
607	35543	81375
608	35610	81336
609	35662	81263
610	35719	81202
611	35777	81142
612	35830	81070
613	35888	81012
614	35946	80953
615	36005	80894
616	36063	80835
617	36121	80776
618	36175	80709
619	36234	80651
620	36284	80573
621	36345	80520
622	36401	80456
623	36464	80409
624	36516	80336
625	36578	80286
626	36637	80227
627	36696	80170
628	36750	80103
629	36806	80040
630	36856	79962
631	36912	79900
632	36969	79837
633	37029	79782
634	37089	79727
635	37144	79662
636	37197	79591
637	37262	79548
638	37323	79494
639	37377	79427
640	37429	79355
641	37484	79290
642	37552	79251
643	37605	79182
644	37666	79129
645	37722	79065
646	37778	79002
647	37832	78934
648	37890	78875
649	37946	78811
650	38007	78758
651	38066	78701
652	38122	78637
653	38177	78572
654	38233	78510
655	38285	78439
656	38345	78383
657	38402	78321
658	38460	78262
659	38514	78196
660	38577	78146
661	38638	78093
662	38694	78030
663	38748	77964
664	38803	77899
665	38862	77841
666	38919	77781
667	38978	77722
668	39039	77670
669	39094	77605
670	39151	77544
671	39209	77485
672	39260	77412
673	39310	77337
674	39367	77277
675	39423	77214
676	39486	77165
677	39543	77103
678	39603	77048
679	39660	76987
680	39717	76927
681	39769	76857
682	39828	76798
683	39878	76725
684	39937	76667
685	39996	76610
686	40056	76555
687	40111	76491
688	40169	76432
689	40230	76380
690	40290	76324
691	40345	76260
692	40404	76202
693	40464	76147
694	40517	76079
695	40576	76022
696	40627	75951
697	40682	75885
698	40740	75826
699	40802	75776
700	40859	75716
701	40927	75675
702	40988	75621
703	41046	75563
704	41101	75498
705	41157	75436
706	41213	75374
707	41270	75312
708	41333	75263
709	41392	75206
710	41450	75147
711	41503	75079
712	41560	75018
713	41613	74951
714	41666	74883
715	41720	74816
716	41774	74751
717	41833	74694
718	41899	74649
719	41959	74594
720	42016	74534
721	42074	74474
722	42128	74408
723	42185	74348
724	42242	74288
725	42297	74225
726	42364	74180
727	42423	74124
728	42478	74061
729	42538	74005
730	42599	73951
731	42649	73878
732	42703	73814
733	42761	73755
734	42823	73703
735	42885	73650
736	42942	73591
737	43000	73531
738	43058	73472
739	43112	73407
740	43168	73346
741	43223	73281
742	43282	73225
743	43341	73167
744	43397	73105
745	43457	73050
746	43513	72988
747	43567	72922
748	43630	72872
749	43689	72815
750	43747	72757
751	43801	72692
752	43861	72636
753	43914	72570
754	43973	72513
755	44025	72443
756	44083	72385
757	44138	72321
758	44192	72256
759	44246	72192
760	44308	72140
761	44370	72088
762	44434	72039
763	44492	71980
764	44553	71926
765	44603	71855
766	44661	71796
767	44719	71738
768	44781	71685
769	44838	71625
770	44896	71565
771	44949	71499
772	45008	71442
773	45060	71374
774	45115	71312
775	45172	71251
776	45232	71196
777	45291	71139
778	45351	71083
779	45407	71021
780	45466	70965
781	45523	70904
782	45581	70846
783	45641	70790
784	45693	70723
785	45757	70673
786	45818	70620
787	45871	70553
788	45928	70493
789	45987	70436
790	46040	70370
791	46098	70312
792	46148	70240
793	46208	70186
794	46264	70123
795	46319	70061
796	46377	70002
797	46433	69941
798	46486	69875
799	46541	69812
800	46593	69745
801	46654	69690
802	46711	69630
803	46764	69565
804	46822	69506
805	46880	69448
806	46934	69384
807	46992	69325
808	47053	69271
809	47106	69205
810	47165	69149
811	47226	69095
812	47278	69027
813	47329	68958
814	47387	68901
815	47440	68835
816	47496	68773
817	47548	68707
818	47612	68657
819	47671	68600
820	47724	68535
821	47780	68473
822	47837	68413
823	47893	68352
824	47949	68291
825	48008	68234
826	48065	68175
827	48125	68119
828	48185	68064
829	48233	67991
830	48297	67941
831	48352	67879
832	48411	67822
833	48465	67759
834	48524	67702
835	48585	67647
836	48640	67585
837	48695	67522
838	48750	67461
839	48807	67401
840	48862	67338
841	48916	67274
842	48973	67215
843	49027	67151
844	49086	67094
845	49142	67033
846	49199	66974
847	49260	66919
848	49315	66857
849	49366	66789
850	49431	66740
851	49486	66679
852	49546	66624
853	49608	66570
854	49659	66503
855	49720	66448
856	49779	66391
857	49826	66319
858	49888	66266
859	49937	66196
860	50000	66144
861	50060	66089
862	50117	66029
863	50171	65966
864	50228	65906
865	50283	65844
866	50343	65789
867	50400	65729
868	50460	65674
869	50520	65619
870	50577	65559
871	50630	65494
872	50683	65429
873	50740	65370
874	50799	65314
875	50854	65251
876	50910	65191
877	50977	65144
878	51034	65085
879	51093	65028
880	51154	64973
881	51203	64904
882	51260	64844
883	51316	64784
884	51375	64727
885	51442	64680
886	51500	64622
887	51560	64567
888	51615	64504
889	51667	64439
890	51734	64392
891	51793	64335
892	51858	64285
893	51915	64226
894	51989	64187
895	52050	64133
896	52110	64077
897	52171	64023
898	52236	63973
899	52293	63914
900	52361	63868
901	52427	63820
902	52488	63765
903	52550	63711
904	52618	63665
905	52679	63610
906	52750	63567
907	52817	63520
908	52878	63465
909	52938	63409
910	52999	63355
911	53068	63310
912	53131	63257
913	53192	63202
914	53253	63147
915	53313	63091
916	53377	63040
917	53435	62982
918	53494	62924
919	53550	62863
920	53608	62805
921	53662	62741
922	53719	62681
923	53777	62623
924	53838	62568
925	53894	62508
926	53955	62453
927	54019	62402
928	54080	62347
929	54141	62292
930	54199	62232
931	54261	62179
932	54320	62122
933	54387	62073
934	54443	62013
935	54507	61961
936	54565	61902
937	54627	61848
938	54682	61787
939	54739	61727
940	54795	61666
941	54850	61604
942	54905	61543
943	54967	61489
944	55027	61432
945	55084	61373
946	55138	61310
947	55204	61260
948	55261	61201
949	55321	61145
950	55380	61087
951	55439	61030
952	55497	60972
953	55555	60913
954	55609	60850
955	55669	60793
956	55726	60734
957	55787	60679
958	55842	60617
959	55903	60562
960	55961	60503
961	56015	60441
962	56072	60380
963	56133	60326
964	56194	60270
965	56254	60214
966	56321	60165
967	56379	60107
968	56438	60049
969	56497	59992
970	56560	59938
971	56619	59881
972	56684	59830
973	56743	59773
974	56801	59714
975	56857	59654
976	56914	59594
977	56974	59538
978	57039	59486
979	57101	59432
980	57164	59378
981	57227	59325
982	57287	59268
983	57351	59216
984	57410	59158
985	57473	59105
986	57538	59054
987	57600	59000
988	57666	58949
989	57729	58895
990	57784	58834
991	57847	58781
992	57902	58718
993	57963	58663
994	58027	58610
995	58093	58560
996	58150	58500
997	58210	58443
998	58274	58391
999	58335	58335
1000	58392	58276
1001	58456	58222
1002	58521	58171
1003	58584	58117
1004	58642	58058
1005	58700	58000
1006	58761	57944
1007	58822	57888
1008	58879	57829
1009	58941	57773
1010	59004	57720
1011	59062	57661
1012	59122	57605
1013	59185	57550
1014	59249	57498
1015	59301	57434
1016	59360	57376
1017	59417	57316
1018	59481	57263
1019	59537	57202
1020	59603	57151
1021	59658	57090
1022	59719	57034
1023	59778	56976
1024	59835	56916
1025	59888	56852
1026	59950	56798
1027	60013	56744
1028	60079	56692
1029	60134	56631
1030	60195	56576
1031	60250	56513
1032	60307	56454
1033	60364	56394
1034	60424	56337
1035	60480	56276
1036	60541	56221
1037	60598	56161
1038	60657	56104
1039	60719	56048
1040	60781	55993
1041	60842	55937
1042	60903	55881
1043	60964	55825
1044	61026	55770
1045	61088	55715
1046	61153	55662
1047	61222	55614
1048	61281	55556
1049	61336	55495
1050	61401	55442
1051	61459	55383
1052	61524	55331
1053	61582	55272
1054	61641	55214
1055	61697	55153
1056	61756	55095
1057	61806	55030
1058	61866	54973
1059	61925	54915
1060	61982	54855
1061	62041	54797
1062	62098	54737
1063	62148	54672
1064	62205	54612
1065	62263	54553
1066	62321	54495
1067	62380	54436
1068	62439	54378
1069	62489	54312
1070	62545	54252
1071	62598	54189
1072	62655	54130
1073	62709	54067
1074	62765	54007
1075	62825	53950
1076	62877	53886
1077	62936	53829
1078	62991	53767
1079	63048	53708
1080	63102	53646
1081	63158	53585
1082	63217	53527
1083	63283	53475
1084	63344	53419
1085	63402	53361
1086	63457	53299
1087	63518	53243
1088	63571	53180
1089	63627	53120
1090	63680	53057
1091	63744	53003
1092	63802	52944
1093	63855	52882
1094	63906	52817
1095	63964	52758
1096	64021	52699
1097	64077	52639
1098	64140	52584
1099	64199	52527
1100	64254	52466
1101	64312	52407
